How do you communicate with the committee members of your residential community and why?,How do you communicate with the committee members of your residential community and why?_Sentiment,Why do you participate/not participate in the activities organised by your residential community?,Why do you participate/not participate in the activities organised by your residential community?_Sentiment,"When visiting a residential community that requires registration at the guard house, how do you feel about it and why do you feel that way?","When visiting a residential community that requires registration at the guard house, how do you feel about it and why do you feel that way?_Sentiment"
Email and mail.  Mails are use as some elderly residence do not know how to use WhatsApp or email. ,Neutral,Get to know the community & neighbours,Neutral,Great. To prevent unauthorised visitors. Good for contact tracing especially during Covid-19 pandemic.,Positive
WhatsApp or email ,Neutral,To stay in touch with neighbours in the community. ,Neutral,"Totally fine with it, but if Pre registering is allowed will be fasten the entry of the visitor. ",Neutral
"WhatsApp group, as it's a common platform which everyone use",Neutral,To show support to the Management Company and to get to know other residents ,Positive,It's a little irritating when you have to wait very long but I know it's done for the safely of the resident and visitors ,Neutral
"WhatsApp, emails",Neutral,Enhance community relations ,Neutral,Ok for security of residents ,Neutral
Through whatsaap to submit complaints/reports/requests,Neutral,To show support & meet other residents,Positive,It is good. In event of unseen circumstances the guards will be alerted,Positive
WhatsApp ,Neutral,It's fun to know your neighbor and it's our responsibility to be part of the process of improving the Taman ,Positive,A little annoyed at times but we know it's for security reasons. So just do it.,Neutral
"Thru WhatsApp for report and discussion, zoom or google meet for meetings",Neutral,To maintain relationship,Neutral,A bit inconvenience,Negative
Through WhatsApp to give or receive information,Neutral,Schedule not matching,Neutral,The security is high and it is safe,Neutral
I don't,Neutral,For fun,Positive,They're just working,Neutral
"whatsapp, request",Neutral,busy,Neutral,"the guard should do the job correctly, for security and safety",Neutral
i dont communicate with neighbours,Neutral,because it is a waste of time,Negative,scare because they look scary,Negative
Via whatsapp,Neutral,It depends on my schedule. Sometimes I am too busy to attend activities,Neutral,I think it is necessary to ensure the safety of the residence,Positive
Whatsapp updates about neiborhood,Neutral,Good neibors,Positive,Good,Positive
WhatsApp Group,Neutral,Get to know the community,Neutral,Acceptable,Neutral
Through what apps also,Neutral,To get to know the community,Neutral,Comply with it to maintain peace and security,Positive
Whatapp group,Neutral,Feel like it,Positive,Couldn't agree more,Neutral
Via letters,Neutral,To socialise ,Neutral,Don't like but necessary,Neutral
Email or phone conversation ,Neutral,Participating in the activities is part of my responsibility as member of the community ,Neutral,It's perfectly fine as it is for security reasons ,Neutral
Thru whatsapp to submit complaint reports/suggestions.,Neutral,My work schedule doesn't allow me to participate sometimes.,Neutral,Safe n secure ,Positive
Through whatsapp groupchat to get update of any issues pertaining our Taman/ seek advise. ,Neutral,Cant match the timing issue most of the time,Neutral,Just the norm to adhere to those guarded community. Guarded community is more secured ,Neutral
WhatsApp ,Neutral,Sometimes,Neutral,"Fine for me, is for security",Neutral
"Through an app called JagaApp, also Facebook.",Neutral,I am an anti social person,Neutral,Mahfan cuz usually need to give IC/license.,Negative
Just friendship,Neutral,Yes,Neutral,Good. For safety of community ,Positive
WhatsApp ,Neutral,Don't have this kind of event ,Neutral,My residential don't have guard house ,Neutral
Through WhatsApp to submit my inquiries ,Neutral,I participate just to enjoy the activities & to be part of the community I live in. ,Positive,I don't mind sharing my particulars because I understand it is for safety & protection. ,Neutral
Social WhatsApp Residence Group,Neutral,Strengthen your ties to your community ,Neutral,It's mandatory to safe guard the Residence area ,Positive
What apps ,Neutral,Promote good relationships ,Positive,Great. Feel safe ,Positive
Suggestion and complaints ,Neutral,Busy with work ,Neutral,Good ,Positive
Through Whatsapp,Neutral,It's good avenue to get to know neighbors and keep the housing complex clean/nice,Positive,That's normal ,Neutral
